test,mask_size,pcm_mean,pcm_std
DoB,15,87.56510416666667,0.5966895436140417
DoB,19,94.62986070078989,0.3680863034518308
T,15,84.21743024343851,0.32411057374495306
T,19,93.09895833333333,0.49152567937960606
F,15,0.516600136233414,0.005752364535934851
F,19,0.3776690553836088,0.004175979122655707
L,15,0.5372460655591454,0.008260174372718504
L,19,1.171875,0.0
U,15,85.78491890583393,0.6797496307160997
U,19,92.39408683071395,0.09983234729240455
KS,15,87.21351648130239,0.694713142656139
KS,19,92.12239583333333,0.40657539052072905
v2,15,88.62593214326205,1.7869120445635724
v2,19,93.42447916666667,0.8131507810414581
